Running PageRank with data/soc-sign-Slashdot081106.txt
0.00033171 : 254 117
0.00033137 : 4754 118
0.00033002 : 6089 119
0.00032988 : 2825 120
0.00032032 : 5446 121
0.00031817 : 1838 122
0.00031648 : 5753 123
0.00031579 : 4451 124
0.00031363 : 6868 125
0.00031360 : 3666 126
0.00031220 : 21145 127
0.00030751 : 2750 128
0.00030690 : 163 129
0.00030383 : 9245 130
0.00030324 : 38568 131
0.00030239 : 1765 132
0.00030187 : 748 133
0.00030147 : 9620 134
0.00030138 : 110 135
0.00029952 : 1299 136
0.00029870 : 2025 137
0.00029803 : 2778 138
0.00029725 : 8682 139
0.00029686 : 5250 140
0.00029686 : 17977 141
0.00029659 : 12668 142
0.00029519 : 2932 143
0.00029363 : 2101 144
0.00029133 : 2083 145
0.00029054 : 4356 146
0.00029044 : 1810 147
0.00029025 : 405 148
0.00028936 : 6077 149
0.00028878 : 1812 150
0.00028877 : 8299 151
0.00028866 : 24 152
0.00028785 : 1612 153
0.00028749 : 109 154
0.00028659 : 4831 155
0.00028501 : 10196 156
0.00028490 : 34 157
0.00028055 : 10295 158
0.00028030 : 1800 159
0.00027732 : 8699 160
0.00027708 : 6684 161
0.00027517 : 7587 162
0.00027449 : 4130 163
0.00027422 : 13784 164
0.00027388 : 9525 165
0.00027366 : 1211 166
0.00027340 : 2754 167
0.00027332 : 1544 168
0.00027254 : 67653 169
0.00027239 : 722 170
0.00027130 : 770 171
0.00027016 : 21699 172
0.00026966 : 1952 173
0.00026890 : 1824 174
0.00026880 : 24951 175
0.00026850 : 57 176
0.00026802 : 5849 177
0.00026793 : 2824 178
0.00026548 : 1813 179
0.00026238 : 17214 180
0.00026101 : 74 181
0.00026008 : 419 182
0.00025867 : 1809 183
0.00025861 : 50 184
0.00025845 : 15 185
0.00025655 : 3598 186
0.00025535 : 2990 187
0.00025384 : 10787 188
0.00025274 : 6028 189
0.00025187 : 53 190
0.00025177 : 10622 191
0.00025103 : 3951 192
0.00025073 : 739 193
0.00025064 : 36632 194
0.00025015 : 68476 195
0.00024829 : 9141 196
0.00024796 : 2793 197
0.00024731 : 40298 198
0.00024731 : 40294 199
0.00024731 : 40296 200
0.00024731 : 40297 201
0.00024731 : 40299 202
0.00024718 : 4935 203
0.00024648 : 7299 204
0.00024617 : 114 205
0.00024485 : 4818 206
0.00024444 : 14198 207
0.00024384 : 3563 208
0.00023986 : 48919 209
0.00023887 : 1590 210
0.00023774 : 2506 211
0.00023738 : 4228 212
0.00023727 : 6409 213
0.00023648 : 6711 214
0.00023598 : 5286 215
0.00023544 : 5834 216
0.00023520 : 1808 217
0.00023473 : 2782 218
0.00023341 : 66741 219
0.00023323 : 3236 220
0.00023284 : 800 221
0.00023028 : 3861 222
0.00023010 : 4578 223
0.00022950 : 7313 224
0.00022853 : 3769 225
0.00022764 : 6768 226
0.00022737 : 36511 227
0.00022531 : 40025 228
0.00022520 : 3565 229
0.00022475 : 1883 230
0.00022456 : 6441 231
0.00022426 : 4041 232
0.00022409 : 27677 233
0.00022234 : 11436 234
0.00022128 : 10870 235
0.00022075 : 10874 236
0.00021999 : 36631 237
0.00021969 : 13865 238
0.00021921 : 1773 239
0.00021818 : 4521 240
0.00021569 : 697 241
0.00021547 : 13936 242
0.00021544 : 11775 243
0.00021460 : 10871 244
0.00021455 : 2327 245
0.00021366 : 3223 246
0.00021289 : 10873 247
0.00021259 : 4761 248
0.00021252 : 15793 249
0.00021233 : 10875 250
0.00021213 : 14636 251
0.00021083 : 13915 252
0.00020999 : 6566 253
0.00020984 : 7553 254
0.00020928 : 3811 255
0.00020885 : 10791 256
0.00020764 : 720 257
0.00020577 : 16285 258
0.00020449 : 8133 259
0.00020435 : 1902 260
0.00020320 : 4930 261
0.00020301 : 1242 262
0.00020249 : 3551 263
0.00020196 : 698 264
0.00020034 : 282 265
0.00019782 : 4365 266
0.00019777 : 6035 267
0.00019749 : 5474 268
0.00019742 : 98 269
0.00019736 : 1635 270
0.00019734 : 76620 271
0.00019716 : 9648 272
0.00019634 : 2158 273
0.00019601 : 10304 274
0.00019557 : 2317 275
0.00019526 : 15580 276
0.00019510 : 1202 277
0.00019489 : 9390 278
0.00019474 : 1110 279
0.00019462 : 15977 280
0.00019423 : 10395 281
0.00019416 : 1649 282
0.00019395 : 21684 283
0.00019373 : 1410 284
0.00019327 : 4335 285
0.00019209 : 1954 286
0.00019156 : 3775 287
0.00019065 : 42502 288
0.00018946 : 3354 289
0.00018938 : 47363 290
0.00018919 : 496 291
0.00018898 : 9351 292
0.00018845 : 13144 293
0.00018825 : 2968 294
0.00018801 : 3364 295
0.00018801 : 540 296
0.00018716 : 11297 297
0.00018716 : 15197 298
0.00018712 : 42584 299
0.00018630 : 1832 300
0.00018612 : 10387 301
0.00018574 : 9927 302
0.00018526 : 877 303
0.00018489 : 8228 304
0.00018458 : 28039 305
0.00018433 : 1826 306
0.00018428 : 3541 307
0.00018226 : 1285 308
0.00018190 : 432 309
0.00018161 : 17573 310
0.00018140 : 1130 311
0.00018132 : 45485 312
0.00018071 : 3335 313
0.00018037 : 505 314
0.00017948 : 1397 315
0.00017921 : 32147 316
0.00017869 : 27775 317
0.00017846 : 22070 318
0.00017813 : 1512 319
0.00017805 : 17029 320
0.00017778 : 11692 321
0.00017763 : 34441 322
0.00017686 : 1470 323
0.00017591 : 16133 324
0.00017590 : 5378 325
0.00017574 : 13335 326
0.00017446 : 5563 327
0.00017367 : 6454 328
0.00017361 : 5138 329
0.00017341 : 29695 330
0.00017311 : 6499 331
0.00017257 : 2598 332
0.00017222 : 10580 333
0.00017199 : 5863 334
0.00017149 : 104 335
0.00017134 : 1116 336
0.00017093 : 2006 337
0.00017071 : 1844 338
0.00017014 : 37 339
0.00017006 : 14168 340
0.00016956 : 49139 341
0.00016920 : 34590 342
0.00016869 : 547 343
0.00016855 : 5729 344
0.00016835 : 16218 345
0.00016835 : 17 346
0.00016789 : 6250 347
0.00016748 : 5982 348
0.00016600 : 7118 349
0.00016581 : 2682 350
0.00016533 : 12452 351
0.00016513 : 3181 352
0.00016511 : 1733 353
0.00016465 : 19698 354
0.00016413 : 47 355
0.00016386 : 2633 356
0.00016380 : 6306 357
0.00016374 : 2229 358
0.00016368 : 11114 359
0.00016348 : 5000 360
0.00016313 : 9026 361
0.00016290 : 727 362
0.00016255 : 111 363
0.00016239 : 1240 364
0.00016228 : 100 365
0.00016183 : 115 366
0.00016183 : 117 367
0.00016183 : 119 368
0.00016145 : 307 369
0.00016082 : 23290 370
0.00016066 : 538 371
0.00016048 : 9086 372
0.00016043 : 13382 373
0.00016009 : 31348 374
0.00015977 : 9718 375
0.00015965 : 13564 376
0.00015937 : 30 377
0.00015923 : 32551 378
0.00015907 : 14627 379
0.00015874 : 382 380
0.00015872 : 25126 381
0.00015842 : 3761 382
0.00015796 : 7328 383
0.00015750 : 40140 384
0.00015742 : 16030 385
0.00015716 : 3303 386
0.00015678 : 46 387
0.00015678 : 4151 388
0.00015669 : 47935 389
0.00015560 : 18945 390
0.00015557 : 11627 391
0.00015524 : 7183 392
0.00015506 : 6743 393
0.00015493 : 16802 394
0.00015411 : 10396 395
0.00015392 : 14674 396
0.00015385 : 9445 397
0.00015358 : 44991 398
0.00015235 : 2339 399
0.00015214 : 185 400
0.00015211 : 50916 401
0.00015192 : 29745 402
0.00015149 : 4149 403
0.00015121 : 11068 404
0.00015039 : 9436 405
0.00015001 : 1247 406
0.00014995 : 5715 407
0.00014968 : 6935 408
0.00014953 : 8562 409
0.00014925 : 26689 410
0.00014890 : 4639 411
0.00014883 : 2266 412
0.00014824 : 6850 413
0.00014818 : 11696 414
0.00014813 : 3585 415
0.00014784 : 3862 416
0.00014769 : 10619 417
0.00014739 : 945 418
0.00014642 : 2926 419
0.00014606 : 17751 420
0.00014589 : 14756 421
0.00014580 : 5267 422
0.00014577 : 21698 423
0.00014567 : 10303 424
0.00014559 : 41510 425
0.00014550 : 14144 426
0.00014550 : 7110 427
0.00014545 : 7398 428
0.00014517 : 1961 429
0.00014515 : 17128 430
0.00014481 : 5865 431
0.00014470 : 45948 432
0.00014462 : 2842 433
0.00014456 : 18161 434
0.00014449 : 7880 435
0.00014422 : 1950 436
0.00014413 : 2395 437
0.00014408 : 4425 438
0.00014380 : 43747 439
0.00014321 : 35160 440
0.00014314 : 4032 441
0.00014283 : 1437 442
0.00014164 : 1101 443
0.00014136 : 13701 444
0.00014134 : 6920 445
0.00014123 : 1754 446
0.00014102 : 2641 447
0.00014080 : 44931 448
0.00014065 : 1595 449
0.00014055 : 21562 450
0.00014048 : 37905 451
0.00014034 : 9627 452
0.00014014 : 693 453
0.00013992 : 5525 454
0.00013937 : 9665 455
0.00013909 : 19020 456
0.00013899 : 8483 457
0.00013856 : 670 458
0.00013844 : 49535 459
0.00013817 : 268 460
0.00013796 : 1168 461
0.00013788 : 23960 462
0.00013768 : 35059 463
0.00013671 : 5978 464
0.00013636 : 42445 465
0.00013564 : 5851 466
0.00013539 : 510 467
0.00013490 : 27828 468
0.00013448 : 952 469
0.00013439 : 14268 470
0.00013367 : 12447 471
0.00013344 : 2213 472
0.00013342 : 5995 473
0.00013337 : 5429 474
0.00013333 : 18359 475
0.00013296 : 3711 476
0.00013293 : 10982 477
0.00013279 : 8564 478
0.00013265 : 6778 479
0.00013256 : 5024 480
0.00013246 : 1775 481
0.00013245 : 545 482
0.00013230 : 4543 483
0.00013199 : 12131 484
0.00013123 : 1083 485
0.00013119 : 6319 486
0.00013116 : 12946 487
0.00013115 : 70614 488
0.00013115 : 19204 489
0.00013091 : 47502 490
0.00013077 : 12290 491
0.00013055 : 10025 492
0.00013051 : 31070 493
0.00013039 : 50041 494
0.00013029 : 19224 495
0.00013010 : 3778 496
0.00013008 : 22902 497
0.00012997 : 5010 498
0.00012977 : 11533 499
0.00012955 : 3371 500
0.00012913 : 502 501
0.00012881 : 36 502
0.00012839 : 15376 503
0.00012838 : 10451 504
0.00012834 : 3262 505
0.00012817 : 7302 506
0.00012816 : 771 507
0.00012796 : 44597 508
0.00012796 : 16313 509
0.00012778 : 120 510
0.00012746 : 2325 511
0.00012741 : 17345 512
0.00012740 : 2516 513
0.00012714 : 9059 514
0.00012678 : 45412 515
0.00012655 : 501 516
0.00012641 : 4924 517
0.00012640 : 2951 518
0.00012572 : 8505 519
0.00012547 : 10848 520
0.00012531 : 5824 521
0.00012512 : 46617 522
0.00012491 : 7335 523
0.00012487 : 21321 524
0.00012469 : 10086 525
0.00012454 : 11592 526
0.00012452 : 5023 527
0.00012451 : 15310 528
0.00012418 : 5898 529
0.00012389 : 1300 530
0.00012368 : 4990 531
0.00012350 : 36045 532
0.00012340 : 19276 533
0.00012336 : 1850 534
0.00012301 : 1307 535
0.00012293 : 13690 536
0.00012283 : 1509 537
0.00012255 : 2250 538
0.00012248 : 1588 539
0.00012244 : 4988 540
0.00012240 : 9317 541
0.00012231 : 14316 542
0.00012229 : 8315 543
0.00012213 : 15321 544
0.00012211 : 17654 545
0.00012103 : 958 546
0.00012098 : 3567 547
0.00012093 : 23026 548
0.00012079 : 1491 549
0.00012060 : 1188 550
0.00012010 : 4488 551
0.00012010 : 10499 552
0.00011998 : 9051 553
0.00011990 : 22583 554
0.00011984 : 3994 555
0.00011979 : 6995 556
0.00011976 : 16984 557
0.00011971 : 10089 558
0.00011963 : 8748 559
0.00011950 : 79 560
0.00011939 : 6063 561
0.00011906 : 12629 562
0.00011901 : 6169 563
0.00011811 : 20654 564
0.00011791 : 4757 565
0.00011775 : 1803 566
0.00011765 : 4008 567
0.00011755 : 4192 568
0.00011752 : 51 569
0.00011746 : 18809 570
0.00011734 : 22343 571
0.00011721 : 808 572
0.00011718 : 49645 573
0.00011705 : 7591 574
0.00011680 : 18032 575
0.00011665 : 523 576
0.00011664 : 5416 577
0.00011653 : 14029 578
0.00011647 : 19880 579
0.00011644 : 3969 580
0.00011644 : 32889 581
0.00011643 : 6316 582
0.00011630 : 4137 583
0.00011622 : 18671 584
0.00011614 : 34551 585
0.00011608 : 46907 586
0.00011595 : 1887 587
0.00011538 : 12190 588
0.00011527 : 2278 589
0.00011512 : 24875 590
0.00011499 : 28486 591
0.00011496 : 5579 592
0.00011465 : 9630 593
0.00011457 : 5275 594
0.00011430 : 3792 595
0.00011430 : 10233 596
0.00011417 : 1981 597
0.00011415 : 3370 598
0.00011403 : 12257 599
0.00011369 : 6358 600
0.00011345 : 1321 601
0.00011319 : 6977 602
0.00011313 : 10748 603
0.00011311 : 219 604
0.00011282 : 50173 605
0.00011255 : 5015 606
0.00011230 : 3292 607
0.00011229 : 7969 608
0.00011226 : 2747 609
0.00011226 : 5598 610
0.00011219 : 40414 611
0.00011195 : 46472 612
0.00011148 : 3084 613
0.00011147 : 35952 614
0.00011122 : 50054 615
0.00011122 : 50053 616
0.00011110 : 5200 617
0.00011099 : 3703 618
0.00011098 : 3079 619
0.00011095 : 8759 620
0.00011075 : 7647 621
0.00011058 : 5980 622
0.00011052 : 9940 623
0.00011039 : 1482 624
0.00011023 : 22980 625
0.00011011 : 11826 626
0.00010996 : 2309 627
0.00010982 : 2026 628
0.00010956 : 5923 629
0.00010939 : 14988 630
0.00010932 : 62166 631
0.00010930 : 16221 632
0.00010926 : 55906 633
0.00010922 : 6380 634
0.00010921 : 19099 635
0.00010913 : 4984 636
0.00010896 : 42378 637
0.00010895 : 58617 638
0.00010872 : 44 639
0.00010872 : 522 640
0.00010846 : 375 641
0.00010845 : 45411 642
0.00010836 : 12776 643
0.00010832 : 3271 644
0.00010819 : 852 645
0.00010818 : 334 646
0.00010812 : 8692 647
0.00010804 : 5837 648
0.00010799 : 52378 649
0.00010789 : 7001 650
0.00010788 : 9956 651
0.00010757 : 165 652
0.00010734 : 22637 653
0.00010703 : 17213 654
0.00010695 : 17694 655
0.00010683 : 38116 656
0.00010662 : 2478 657
0.00010659 : 17268 658
0.00010658 : 39382 659
0.00010651 : 4863 660
0.00010647 : 1807 661
0.00010643 : 3423 662
0.00010635 : 6883 663
0.00010623 : 1296 664
0.00010619 : 10929 665
0.00010611 : 3078 666
0.00010588 : 21686 667
0.00010581 : 3037 668
0.00010562 : 27615 669
0.00010553 : 197 670
0.00010533 : 2338 671
0.00010532 : 745 672
0.00010527 : 3081 673
0.00010519 : 2019 674
0.00010514 : 74804 675
0.00010514 : 6892 676
0.00010513 : 17265 677
0.00010491 : 6746 678
0.00010478 : 10063 679
0.00010478 : 2004 680
0.00010472 : 13955 681
0.00010468 : 16844 682
0.00010456 : 15991 683
0.00010445 : 6433 684
0.00010430 : 5291 685
0.00010418 : 6639 686
0.00010404 : 4002 687
0.00010371 : 14477 688
0.00010369 : 6008 689
0.00010367 : 10575 690
0.00010362 : 10779 691
0.00010321 : 30792 692
0.00010299 : 3561 693
0.00010284 : 14605 694
0.00010281 : 6697 695
0.00010255 : 1305 696
0.00010253 : 10360 697
0.00010251 : 74121 698
0.00010250 : 2113 699
0.00010250 : 19066 700
0.00010246 : 1669 701
0.00010242 : 7020 702
0.00010236 : 10609 703
0.00010233 : 4306 704
0.00010226 : 2056 705
0.00010226 : 2014 706
0.00010226 : 2001 707
0.00010220 : 3964 708
0.00010196 : 10252 709
0.00010190 : 41360 710
0.00010156 : 15080 711
0.00010152 : 26962 712
0.00010123 : 3172 713
0.00010117 : 9383 714
0.00010113 : 11378 715
0.00010104 : 1401 716
0.00010099 : 10249 717
0.00010086 : 37624 718
0.00010085 : 1624 719
0.00010075 : 3119 720
0.00010074 : 6665 721
0.00010062 : 2 722
0.00010060 : 36830 723
0.00010058 : 4985 724
0.00010054 : 4054 725
0.00010053 : 4020 726
0.00010034 : 474 727
0.00010020 : 1541 728
0.00009994 : 4611 729
0.00009970 : 5060 730
0.00009963 : 6691 731
0.00009960 : 22089 732
0.00009920 : 3684 733
0.00009919 : 14482 734
0.00009873 : 15801 735
0.00009870 : 65056 736
0.00009867 : 37875 737
0.00009855 : 1628 738
0.00009845 : 14728 739
0.00009843 : 7115 740
0.00009842 : 4388 741
0.00009827 : 743 742
0.00009815 : 11224 743
0.00009809 : 14873 744
0.00009802 : 8200 745
0.00009799 : 40045 746
0.00009794 : 11102 747
0.00009792 : 3649 748
0.00009782 : 32553 749
0.00009769 : 8753 750
0.00009769 : 36516 751
0.00009769 : 3556 752
0.00009760 : 8524 753
0.00009733 : 17634 754
0.00009727 : 1730 755
0.00009726 : 9560 756
0.00009721 : 25919 757
0.00009710 : 1301 758
0.00009710 : 1295 759
0.00009697 : 42433 760
0.00009643 : 2354 761
0.00009638 : 7645 762
0.00009618 : 9 763
0.00009600 : 30583 764
0.00009590 : 19900 765
0.00009588 : 20048 766
0.00009583 : 20090 767
0.00009579 : 5614 768
0.00009568 : 1500 769
0.00009562 : 51177 770
0.00009552 : 875 771
0.00009550 : 10736 772
0.00009543 : 16128 773
0.00009542 : 714 774
0.00009511 : 10553 775
0.00009510 : 81 776
0.00009508 : 10555 777
0.00009493 : 45127 778
0.00009454 : 20894 779
0.00009444 : 7925 780
0.00009442 : 9134 781
0.00009438 : 11229 782
0.00009432 : 6626 783
0.00009422 : 14550 784
0.00009408 : 7042 785
0.00009408 : 703 786
0.00009390 : 9387 787
0.00009387 : 7734 788
0.00009385 : 7998 789
0.00009382 : 35951 790
0.00009381 : 18010 791
0.00009377 : 13537 792
0.00009364 : 23670 793
0.00009358 : 16599 794
0.00009329 : 3086 795
0.00009328 : 33699 796
0.00009327 : 170 797
0.00009322 : 12372 798
0.00009317 : 16544 799
0.00009307 : 6332 800
0.00009286 : 483 801
0.00009268 : 6205 802
0.00009235 : 3171 803
0.00009215 : 66655 804
0.00009213 : 106 805
0.00009212 : 4967 806
0.00009208 : 1972 807
0.00009207 : 19580 808
0.00009206 : 9811 809
0.00009200 : 14057 810
0.00009192 : 37285 811
0.00009191 : 30191 812
0.00009177 : 7662 813
0.00009175 : 2066 814
0.00009170 : 16430 815
0.00009168 : 5732 816
0.00009164 : 2287 817
0.00009162 : 7347 818
0.00009162 : 47293 819
0.00009160 : 10393 820
0.00009158 : 17798 821
0.00009127 : 6095 822
0.00009126 : 29569 823
0.00009122 : 14817 824
0.00009121 : 36741 825
0.00009121 : 33078 826
0.00009116 : 6282 827
0.00009116 : 5195 828
0.00009115 : 7254 829
0.00009114 : 3184 830
0.00009111 : 29561 831
0.00009096 : 1455 832
0.00009087 : 18587 833
0.00009087 : 13043 834
0.00009075 : 21487 835
0.00009050 : 1574 836
0.00009039 : 52 837
0.00009038 : 21076 838
0.00009037 : 9695 839
0.00009032 : 11292 840
0.00009011 : 190 841
0.00009005 : 3076 842
0.00009005 : 28867 843
0.00009000 : 14878 844
0.00008991 : 61801 845
0.00008987 : 12419 846
0.00008981 : 6627 847
0.00008978 : 14420 848
0.00008977 : 4555 849
0.00008976 : 10203 850
0.00008972 : 49384 851
0.00008945 : 407 852
0.00008931 : 4265 853
0.00008928 : 19463 854
0.00008922 : 20554 855
0.00008920 : 937 856
0.00008906 : 45 857
0.00008877 : 200 858
0.00008828 : 14731 859
0.00008824 : 12782 860
0.00008821 : 13469 861
0.00008797 : 3834 862
0.00008796 : 6903 863
0.00008789 : 26450 864
0.00008776 : 17987 865
0.00008773 : 45854 866
0.00008756 : 1069 867
0.00008753 : 422 868
0.00008745 : 1872 869
0.00008744 : 634 870
0.00008741 : 16101 871
0.00008730 : 20046 872
0.00008724 : 27579 873
0.00008723 : 16546 874
0.00008717 : 34263 875
0.00008707 : 8871 876
0.00008696 : 8058 877
0.00008689 : 16748 878
0.00008688 : 4378 879
0.00008686 : 19611 880
0.00008681 : 17996 881
0.00008672 : 11030 882
0.00008657 : 0 883
0.00008652 : 14177 884
0.00008640 : 6657 885
0.00008639 : 9293 886
0.00008639 : 8136 887
0.00008632 : 2153 888
0.00008632 : 18734 889
0.00008625 : 15620 890
0.00008622 : 5693 891
0.00008620 : 47951 892
0.00008615 : 32611 893
0.00008610 : 755 894
0.00008602 : 18196 895
0.00008598 : 6738 896
0.00008597 : 21886 897
0.00008591 : 950 898
0.00008581 : 1220 899
0.00008573 : 3962 900
0.00008566 : 7349 901
0.00008565 : 12013 902
0.00008554 : 16038 903
0.00008553 : 3513 904
0.00008547 : 48039 905
0.00008540 : 16940 906
0.00008528 : 65 907
0.00008524 : 9577 908
0.00008500 : 2850 909
0.00008497 : 813 910
0.00008490 : 37190 911
0.00008489 : 1686 912
0.00008465 : 1012 913
0.00008462 : 69195 914
0.00008462 : 744 915
0.00008461 : 23019 916
0.00008430 : 6146 917
0.00008423 : 13723 918
0.00008421 : 9455 919
0.00008415 : 10935 920
0.00008398 : 14941 921
0.00008395 : 12168 922
0.00008391 : 10687 923
0.00008390 : 53750 924
0.00008388 : 12240 925
0.00008381 : 64778 926
0.00008380 : 34810 927
0.00008367 : 26649 928
0.00008366 : 34001 929
0.00008363 : 10588 930
0.00008361 : 578 931
0.00008358 : 1052 932
0.00008356 : 2291 933
0.00008339 : 35619 934
0.00008336 : 12756 935
0.00008334 : 57328 936
0.00008333 : 2935 937
0.00008331 : 6542 938
0.00008327 : 59400 939
0.00008325 : 29017 940
0.00008321 : 12625 941
0.00008317 : 11844 942
0.00008311 : 55545 943
0.00008307 : 389 944
0.00008271 : 53269 945
0.00008270 : 13610 946
0.00008270 : 4542 947
0.00008269 : 5386 948
0.00008267 : 17893 949
0.00008257 : 6054 950
0.00008243 : 20352 951
0.00008237 : 193 952
0.00008230 : 1878 953
0.00008226 : 4720 954
0.00008219 : 37189 955
0.00008219 : 37196 956
0.00008219 : 37191 957
0.00008219 : 37195 958
0.00008219 : 37192 959
0.00008213 : 8948 960
0.00008213 : 204 961
0.00008213 : 196 962
0.00008213 : 202 963
0.00008213 : 194 964
0.00008212 : 5 965
0.00008182 : 676 966
0.00008180 : 3314 967
0.00008178 : 66853 968
0.00008175 : 27 969
0.00008172 : 10741 970
0.00008169 : 14464 971
0.00008162 : 71 972
0.00008157 : 2116 973
0.00008155 : 1358 974
0.00008147 : 7012 975
0.00008129 : 3842 976
0.00008121 : 1251 977
0.00008108 : 517 978
0.00008098 : 4850 979
0.00008087 : 30493 980
0.00008084 : 1287 981
0.00008080 : 26651 982
0.00008071 : 9391 983
0.00008063 : 28073 984
0.00008061 : 6326 985
0.00008055 : 59680 986
0.00008044 : 25823 987
0.00008041 : 12624 988
0.00008039 : 3824 989
0.00008002 : 10936 990
0.00008000 : 6719 991
0.00007999 : 15217 992
0.00007999 : 11046 993
0.00007994 : 809 994
0.00007989 : 147 995
0.00007978 : 684 996
0.00007974 : 8361 997
0.00007970 : 6273 998
0.00007969 : 3729 999
0.00007964 : 9877 1000
0.00007963 : 15402 1001
0.00007958 : 981 1002
0.00007944 : 9367 1003
0.00007942 : 4057 1004
0.00007939 : 10683 1005
0.00007931 : 24060 1006
0.00007929 : 4337 1007
0.00007926 : 9033 1008
0.00007918 : 1372 1009
0.00007916 : 717 1010
0.00007914 : 28354 1011
0.00007910 : 1145 1012
0.00007905 : 5738 1013
0.00007897 : 12414 1014
0.00007894 : 20051 1015
0.00007885 : 14656 1016
0.00007882 : 11976 1017
0.00007876 : 7279 1018
0.00007875 : 36159 1019
0.00007871 : 64607 1020
0.00007867 : 17246 1021
0.00007863 : 1785 1022
0.00007860 : 633 1023
0.00007859 : 7891 1024
0.00007855 : 8569 1025
0.00007849 : 23805 1026
0.00007833 : 8900 1027
0.00007833 : 19268 1028
0.00007831 : 19620 1029
0.00007826 : 10260 1030
0.00007821 : 1825 1031
0.00007819 : 22310 1032
0.00007818 : 40245 1033
0.00007817 : 14446 1034
0.00007816 : 13111 1035
0.00007808 : 4725 1036
0.00007805 : 48031 1037
0.00007795 : 8238 1038
0.00007791 : 14834 1039
0.00007791 : 13389 1040
0.00007789 : 20311 1041
0.00007788 : 2240 1042
0.00007780 : 9503 1043
0.00007779 : 24076 1044
0.00007779 : 17569 1045
0.00007769 : 12268 1046
0.00007769 : 3016 1047
0.00007767 : 6496 1048
0.00007766 : 1070 1049
0.00007752 : 13613 1050
0.00007746 : 15902 1051
0.00007745 : 21851 1052
0.00007744 : 3377 1053
0.00007743 : 17546 1054
0.00007742 : 12181 1055
0.00007733 : 3211 1056
0.00007727 : 25792 1057
0.00007725 : 22313 1058
0.00007722 : 6400 1059
0.00007717 : 73 1060
0.00007717 : 3863 1061
0.00007716 : 1342 1062
0.00007712 : 245 1063
0.00007710 : 3259 1064
0.00007705 : 530 1065
0.00007692 : 1948 1066
0.00007679 : 1265 1067
0.00007679 : 44703 1068
0.00007666 : 36920 1069
0.00007662 : 24497 1070
0.00007661 : 618 1071
0.00007660 : 40214 1072
0.00007657 : 49930 1073
0.00007653 : 10990 1074
